Date,Open,High,Low,Close,Adj Close,Volume
2023-04-21,11.9,11.94,11.46,11.54,11.54,73509272
2023-04-24,11.54,11.54,11.16,11.38,11.38,68513619
2023-04-25,11.32,11.34,10.8,10.94,10.94,91436900
2023-04-26,10.86,11.24,10.86,11.04,11.04,53680228
2023-04-27,11,11.08,10.88,11.06,11.06,46155383
2023-04-28,11.06,11.3,11,11.06,11.06,46222658
2023-05-02,11.18,11.38,10.86,11.02,11.02,28750297
2023-05-03,11,11.02,10.64,10.84,10.84,39040498
2023-05-04,10.94,11.14,10.82,10.94,10.94,46929937
2023-05-05,11,11.28,10.96,11.16,11.16,54652158
2023-05-08,11.3,11.56,11.2,11.52,11.52,80207601
2023-05-09,11.58,11.6,11.26,11.32,11.32,50509669
2023-05-10,11.3,11.4,11.16,11.3,11.3,33805521
2023-05-11,11.36,11.52,11.04,11.22,11.22,44549242
2023-05-12,11.2,11.22,10.98,11.02,11.02,44999422
2023-05-15,10.86,11.18,10.86,11.12,11.12,46322771
2023-05-16,11.2,11.32,11.1,11.22,11.22,37665723
2023-05-17,11.1,11.22,10.82,10.84,10.84,35051967
2023-05-18,10.9,11.26,10.9,10.98,10.98,41337058
2023-05-19,10.9,11.04,10.84,10.86,10.86,36400641
2023-05-22,10.86,11.16,10.84,10.96,10.96,41131393
2023-05-23,10.96,11.06,10.68,10.76,10.76,57178065
2023-05-24,10.7,10.7,10.38,10.4,10.4,59005592
2023-05-25,10.44,10.94,10.32,10.5,10.5,128060617
2023-05-29,10.54,10.74,10.4,10.48,10.48,56740130
2023-05-30,10.48,10.6,10.36,10.5,10.5,53065128
2023-05-31,10.38,10.44,10.14,10.34,10.34,93057851
2023-06-01,10.18,10.54,10.18,10.26,10.26,61542516
2023-06-02,10.34,10.82,10.34,10.74,10.74,123072680
2023-06-05,10.68,10.96,10.66,10.92,10.92,52384088
2023-06-06,10.92,11.06,10.74,10.86,10.86,36488457
2023-06-07,10.94,11.08,10.92,11.06,11.06,43826349
2023-06-08,11.04,11.08,10.72,10.88,10.88,47078257
2023-06-09,10.9,10.98,10.7,10.84,10.84,45289854
2023-06-12,10.82,10.84,10.54,10.66,10.66,55855012
2023-06-13,10.6,11.04,10.58,10.94,10.94,70037515
2023-06-14,10.9,11.04,10.8,10.86,10.86,53239286
2023-06-15,11.02,11.06,10.8,11.06,11.06,69380544
2023-06-16,11.1,11.2,10.9,11.08,11.08,96858038
2023-06-19,11,11.08,10.72,10.92,10.92,62563818
2023-06-20,10.88,10.88,10.5,10.6,10.6,72426672
2023-06-21,10.42,10.54,10.24,10.28,10.28,75818523
2023-06-23,10.2,10.26,9.86,9.99,9.99,56294874
2023-06-26,10,10.6,10,10.42,10.42,111054264
2023-06-27,10.5,10.78,10.46,10.6,10.6,59155194
2023-06-28,10.44,10.92,10.44,10.84,10.84,67928193
2023-06-29,10.8,10.9,10.76,10.86,10.86,68557766
2023-06-30,10.86,10.9,10.66,10.72,10.72,52166419
2023-07-03,10.76,11.06,10.76,10.98,10.98,59905978
2023-07-04,10.86,11.22,10.86,11.12,11.12,60927043
2023-07-05,11.04,11.18,11.02,11.12,11.12,46064834
2023-07-06,11,11.42,11,11.14,11.14,82888187
2023-07-07,11.06,11.1,10.8,10.8,10.8,65980986
2023-07-10,11.04,11.06,10.62,10.66,10.66,55472209
2023-07-11,10.78,11,10.74,10.88,10.88,41502779
2023-07-12,10.9,11.1,10.9,11.1,11.1,50530800
2023-07-13,11.2,11.56,11.12,11.54,11.54,98641098
2023-07-14,11.6,11.64,11.38,11.48,11.48,64236224
2023-07-18,11.4,11.44,11.14,11.2,11.2,37108329
2023-07-19,10.92,11.22,10.92,11.16,11.16,38985346
2023-07-20,11.3,11.38,11.04,11.06,11.06,33473401
2023-07-21,11.2,11.36,11.06,11.28,11.28,37258049
2023-07-24,11.02,11.16,10.94,11.02,11.02,34364229
2023-07-25,11.46,11.5,11.24,11.48,11.48,68662590
2023-07-26,11.44,11.48,11.32,11.4,11.4,29656225
